,open,high,low,close,volume
2024-01-12 13:00:00,163.048,163.44,163.039,163.329,371676
2024-01-12 14:00:00,163.321,163.856,163.262,163.843,495582
2024-01-12 15:00:00,163.821,164.5,163.747,164.301,1114161
2024-01-12 16:00:00,164.297,164.5,164.099,164.169,3257830
2024-01-12 17:00:00,164.13,164.322,164.12,164.32,34979
2024-01-12 18:00:00,164.287,164.322,164.099,164.122,1047475
2024-01-12 19:00:00,164.307,164.322,164.109,164.133,1047404
2024-01-16 04:00:00,164.307,164.322,163.723,163.944,296
2024-01-16 05:00:00,163.92,163.965,163.653,163.676,1072
2024-01-16 06:00:00,163.771,164.114,163.693,164.063,1297
2024-01-16 07:00:00,164.009,164.262,163.683,163.934,3343
2024-01-16 08:00:00,164.009,164.49,163.663,163.884,5195
2024-01-16 09:00:00,163.89,165.759,163.841,164.311,704445
2024-01-16 10:00:00,164.336,165.224,164.188,165.133,518582
2024-01-16 11:00:00,165.119,165.432,164.426,165.241,525325
2024-01-16 12:00:00,165.198,165.273,164.535,164.588,337241
2024-01-16 13:00:00,164.554,165.065,164.099,164.37,334082
2024-01-16 14:00:00,164.341,164.639,164.02,164.548,362962
2024-01-16 15:00:00,164.534,165.561,164.515,165.44,1028758
2024-01-16 16:00:00,165.426,165.759,159.447,165.668,2427685
2024-01-16 17:00:00,165.644,165.738,165.506,165.53,734
2024-01-16 18:00:00,165.664,165.69,165.447,165.52,690309
2024-01-16 19:00:00,165.456,165.521,165.189,165.292,690857
2024-01-17 04:00:00,165.08,165.263,164.832,164.856,110
2024-01-17 05:00:00,165.387,165.402,165.189,165.212,20
2024-01-17 06:00:00,165.129,165.263,164.892,165.024,1029
2024-01-17 07:00:00,165.129,165.392,164.961,165.262,364
2024-01-17 08:00:00,165.0,165.63,164.654,164.915,11744
2024-01-17 09:00:00,164.842,166.017,164.585,165.282,479347
2024-01-17 10:00:00,165.218,166.263,164.862,165.867,576746
2024-01-17 11:00:00,165.862,166.324,165.734,165.777,624796
2024-01-17 12:00:00,165.773,165.947,164.813,164.836,387503
2024-01-17 13:00:00,164.822,164.917,164.04,164.449,399560
2024-01-17 14:00:00,164.465,164.52,164.228,164.39,351525
2024-01-17 15:00:00,164.386,164.738,163.995,164.588,811197
2024-01-17 16:00:00,164.534,164.599,164.079,164.598,1522537
2024-01-17 17:00:00,164.416,164.599,164.297,164.519,179
2024-01-17 18:00:00,164.554,164.599,164.297,164.42,440486
2024-01-17 19:00:00,164.584,164.599,164.297,164.519,440397
2024-01-18 04:00:00,164.604,164.708,164.535,164.558,134
2024-01-18 05:00:00,164.505,164.57,164.495,164.568,111
2024-01-18 06:00:00,164.653,164.699,164.446,164.647,194
2024-01-18 07:00:00,164.703,164.996,164.694,164.766,626
2024-01-18 08:00:00,164.782,165.744,164.377,164.757,5399
2024-01-18 09:00:00,164.782,165.511,163.861,164.142,349098
2024-01-18 10:00:00,164.183,164.659,163.544,164.36,378404
2024-01-18 11:00:00,164.346,165.154,164.163,164.895,347210
2024-01-18 12:00:00,164.891,164.946,164.525,164.767,284959
2024-01-18 13:00:00,164.762,164.81,164.327,164.657,269661
2024-01-18 14:00:00,164.634,165.392,164.585,165.302,292651
2024-01-18 15:00:00,165.298,165.501,165.12,165.321,666224
2024-01-18 16:00:00,165.307,165.511,164.783,165.351,2926975
2024-01-18 17:00:00,164.832,165.353,164.822,165.351,684
2024-01-18 18:00:00,165.347,165.363,165.1,165.351,871888
2024-01-18 19:00:00,165.337,165.501,165.1,165.5,871882
2024-01-19 04:00:00,165.852,165.908,165.566,165.886,236
2024-01-19 05:00:00,165.843,167.979,165.833,167.512,6153
2024-01-19 06:00:00,167.289,169.624,167.28,169.058,21236
2024-01-19 07:00:00,168.776,169.476,168.439,169.048,23254
2024-01-19 08:00:00,168.37,169.205,165.328,168.453,26458
2024-01-19 09:00:00,168.37,169.148,167.716,168.533,1459863
2024-01-19 10:00:00,168.558,168.782,167.647,168.463,625903
2024-01-19 11:00:00,168.429,168.881,167.944,168.423,597989
2024-01-19 12:00:00,168.399,168.99,168.083,168.969,436946
2024-01-19 13:00:00,168.974,169.436,168.776,169.286,633734
2024-01-19 14:00:00,169.281,169.951,169.197,169.888,543045
2024-01-19 15:00:00,169.856,170.05,169.574,169.979,1484587
2024-01-19 16:00:00,169.965,170.288,169.043,170.039,2611329
2024-01-19 17:00:00,170.025,170.219,169.916,170.108,2244
2024-01-19 18:00:00,169.965,170.219,169.926,170.168,776475
2024-01-19 19:00:00,169.935,170.169,169.926,170.168,774526
2024-01-22 04:00:00,170.589,170.675,170.144,170.465,144
2024-01-22 05:00:00,170.451,170.695,170.213,170.396,1351
2024-01-22 06:00:00,170.381,170.506,170.243,170.435,188
2024-01-22 07:00:00,170.332,170.962,170.025,170.961,3213
2024-01-22 08:00:00,170.421,171.032,169.896,171.0,11805
2024-01-22 09:00:00,170.986,172.895,170.56,172.15,835281
2024-01-22 10:00:00,172.16,172.449,171.075,171.169,683238
2024-01-22 11:00:00,171.169,171.676,170.837,171.545,514072
2024-01-22 12:00:00,171.551,171.795,171.254,171.684,336661
2024-01-22 13:00:00,171.684,171.706,171.115,171.213,348941
2024-01-22 14:00:00,171.189,171.433,171.135,171.431,258140
2024-01-22 15:00:00,171.432,171.745,171.115,171.337,768764
2024-01-22 16:00:00,171.323,171.795,170.917,171.288,2932034
2024-01-22 17:00:00,171.253,171.448,171.036,171.446,263
2024-01-22 18:00:00,171.234,171.795,171.036,171.456,891445
2024-01-22 19:00:00,171.273,171.636,171.264,171.635,887218
2024-01-23 04:00:00,171.64,171.656,171.531,171.555,14
2024-01-23 05:00:00,171.61,171.686,171.531,171.644,172
2024-01-23 06:00:00,171.65,171.805,171.462,171.803,134
2024-01-23 07:00:00,171.62,171.953,171.61,171.853,758
2024-01-23 08:00:00,171.709,172.201,171.264,171.803,2327
2024-01-23 09:00:00,171.838,172.379,170.917,172.239,351384
2024-01-23 10:00:00,172.264,172.469,171.373,171.412,641583
2024-01-23 11:00:00,171.397,172.142,171.363,171.882,451979
2024-01-23 12:00:00,171.858,172.062,171.482,171.605,331182
2024-01-23 13:00:00,171.58,171.854,171.526,171.773,297113
2024-01-23 14:00:00,171.769,172.31,171.645,172.18,391712
2024-01-23 15:00:00,172.175,172.449,171.987,172.378,812673
2024-01-23 16:00:00,172.363,173.024,159.931,172.893,1559984
2024-01-23 17:00:00,172.69,173.143,172.423,172.854,3219
2024-01-23 18:00:00,172.809,173.128,172.363,173.121,434845
2024-01-23 19:00:00,172.373,173.42,172.363,173.419,436383
2024-01-24 04:00:00,173.424,173.44,173.027,173.419,2874
2024-01-24 05:00:00,173.374,173.717,173.265,173.637,2104
2024-01-24 06:00:00,173.652,173.817,173.226,173.409,1187
2024-01-24 07:00:00,173.424,173.737,173.097,173.399,10132
2024-01-24 08:00:00,173.424,175.194,172.363,173.141,15191
2024-01-24 09:00:00,173.206,173.44,172.046,173.002,640911
